source,target
RakyatMerdeka99,Andespen1
RakyatMerdeka99,Andespen1
RakyatMerdeka99,Andespen1
RakyatMerdeka99,Andespen1
Kanseulir,Xander4c3
harihariono1,felliceWOW
dwiyanaDKM,Joyosuto3
CNNIndonesia,Azt_SweetMe
Paulus_willy,PurworOjek
temponewsroom,salahsambungya
MKNJPM,zari_jerry
kemkominfo,ldii_belitang
KBNPersero,biofarmaID
unpad,biofarmaID
ZahriMaya,biofarmaID
PIMACEH,biofarmaID
fahiraidris,BuyungRifansya3
TarunaIkrar,Adjiesupergates
lawancovid19_id,AntiPengPeng
Paulus_willy,DiniHrdianti
fahiraidris,marinarambe
AnakLolina2,ArifinNKRI1
Paulus_willy,ArifinNKRI1
dwiyanaDKM,johan_woda
NOTASLIMBOY,DevinRmd
NOTASLIMBOY,evylagi
BPOM_RI,marizalfatih
NOTASLIMBOY,didienAZHAR
NOTASLIMBOY,luviku
NOTASLIMBOY,Dani_Cicadas
temponewsroom,temponewsroom
rya_nugrohoi,GamaelBen
pakmul63,alsaryono
TarunaIkrar,180dcc7b252e46d
KompasTV,cindysagita4
tempodotco,cindysagita4
dwiyanaDKM,NingPrahadhi03
Winardhi__,NingPrahadhi03
Winardhi__,torelwisnu
MARQUEZ__93,cokifunk
BPOM_RI,BPOMBatam
Paulus_willy,BaladMu
dwiyanaDKM,HamdanNr
Penyuka_ombak,HamdanNr
Paulus_willy,AnakLolina2
Paulus_willy,heintje_han
BuayaKepri,BuayaKepri
BuayaKepri,IkanKepri
BuayaKepri,BabyKepri
MARQUEZ__93,tioharimurtie
dwiyanaDKM,Hanifah933
Paulus_willy,ArifinNKRI__
dwiyanaDKM,ArifinNKRI__
dwiyanaDKM,Penyuka_ombak
rya_nugrohoi,Penyuka_ombak
HKMFunsri,gh_inani
LOVE_AG4EVER,tanzania48
antarafoto,antaranews
republikaonline,OfficePublic
dwiyanaDKM,sir_usil
dwiyanaDKM,cadarmerah
gundala222,cadarmerah
dwiyanaDKM,emastok
dwiyanaDKM,Chaterinee_08
Paulus_willy,Chaterinee_08
TarunaIkrar,Arf_f4d
BPOM_RI,LokapomBanyumas
lawancovid19_id,LokapomBanyumas
idntimes,ann1s4
kemkominfo,ann1s4
Dnok_Ayu,Jelli_cent
dwiyanaDKM,NayDwiyana
Winardhi__,dsangg377
HKMFunsri,arumzfr
fahiraidris,ARr123ee
PolsekKandat,SekarTiff4ny
fahiraidris,fIcal85360324
tempodotco,fIcal85360324
BPOM_RI,abhiseka_
Paulus_willy,Great_Pujangga
spektrumku,rifqymaul
MARQUEZ__93,Zoelfik47281559
Paulus_willy,Zoelfik47281559
BPOM_RI,panjimoro
republikaonline,kartikahari13
dopangadr,lia_amali1
BPOM_RI,yukciiikk
hamro_s,gagoh10
AnakLolina2,gagoh10
AnonymousSaid2,gagoh10
dwiyanaDKM,Paltiwest
TarunaIkrar,NoviTreez
JapenSabah,pmrkotabelud
namjinsdghtr,hopeerose_
Paulus_willy,Jokmin2020
kompascom,Lilitamin
antarafoto,galeriantara
harihariono1,KurniantoTjan
idntimes,Dia_ndra64
idntimes,Dia_ndra64
idntimes,Dia_ndra64
KemenkesRI,ika_nurhimaya
kemkominfo,ika_nurhimaya
Paulus_willy,DiptWidya
unpad,dhimshaq
Paulus_willy,Real_kudo
cnbcindonesia,Real_kudo
Paulus_willy,Pencerah__
dwiyanaDKM,Pencerah__
mediaindonesia,BrowSniperBack
MARQUEZ__93,aboutiwe
TarunaIkrar,wahiki1
NdonPedoHunter,BloonGyan
Metro_TV,ryolandafit
KompasTV,ryolandafit
CNNIndonesia,ryolandafit
CNNIndonesia,ryolandafit
KompasTV,ryolandafit
detikcom,ryolandafit
KompasTV,ryolandafit
CNNIndonesia,ryolandafit
detikcom,ryolandafit
detikcom,ryolandafit
KompasTV,ryolandafit
lawancovid19_id,yodhaaaaa
dwiyanaDKM,hate_HTi
antarafoto,Falah_Riedl
antaranews,Falah_Riedl
kemkominfo,Falah_Riedl
harihariono1,Brunowicaksono
dwiyanaDKM,Brunowicaksono
dwiyanaDKM,eLHurryKoRn
MARQUEZ__93,yudiseti
Paulus_willy,JhonHtjl
Winardhi__,meow_leader
CNNIndonesia,arisaijaz
dwiyanaDKM,EngelinLeonyD
kompascom,AdipatiJulian22
sherinasinna,indahtikaa
republikaonline,ferascorp
dwiyanaDKM,badonci
fahiraidris,RyanDirhamsyah
kumparan,Dwvrnthy
Dnok_Ayu,Je_Ly
TarunaIkrar,Bhuz11
shhizukaa,airore0
dwiyanaDKM,Rizki_Fahreza
Dnok_Ayu,Bie_Ibie
fahiraidris,daganoer
teofillin,rezazerharis
kumparan,dorktorr
Paulus_willy,tacubz
monitordaycom,AtapMiring
tempodotco,EggySari
fahiraidris,EggySari
geloraco,zuriswanfajri
dwiyanaDKM,MonoKaritas
Paulus_willy,CiungKana
dwiyanaDKM,BintangKirara
dwiyanaDKM,Detektif_Ngibul
Paulus_willy,Rizmaya__
sefkelik,NetijenCupu
HKMFunsri,Beri19
faridgaban,insunpredator
rahung,insunpredator
libertees_id,insunpredator
e100ss,insunpredator
farmasetika_com,intanbdrnalv
farmasetika_com,intanbdrnalv
dwiyanaDKM,Fl0B4M0R4
unpad,dudepanai
dwiyanaDKM,AriestaRiico_
dwiyanaDKM,antosoeyono
Beritasatu,AmanMansyur
rya_nugrohoi,Alrumy5
harihariono1,Ephraym9
fahiraidris,herniery
kemkominfo,eksantwhy
unpad,ckrzna
harihariono1,CecyliaCrystal
PolsekKandat,ed_parmadi
harihariono1,KoboiBengek
Penyuka_ombak,Paulus_willy
djarito_sadewo,Paulus_willy
ladymissazira,azam5091
